Approximation (at limit): sqrt2 ≈ 1.414213562373095
n=0  x=1.0  delta=seed  err=1
n=1  x=1.5  delta=0.5  err=0.25
n=2  x=1.4166666666666665  delta=0.08333333333333348  err=0.006944444444444198
n=3  x=1.4142156862745097  delta=0.002450980392156854  err=0.000006007304882427178
n=4  x=1.4142135623746899  delta=0.0000021238998197947723  err=4.510614104447086e-12
n=5  x=1.414213562373095  delta=1.5949463971764999e-12  err=4.440892098500626e-16
n=6  x=1.414213562373095  delta=0  err=4.440892098500626e-16
n=7  x=1.414213562373095  delta=0  err=4.440892098500626e-16
n=8  x=1.414213562373095  delta=0  err=4.440892098500626e-16
n=9  x=1.414213562373095  delta=0  err=4.440892098500626e-16
n=10  x=1.414213562373095  delta=0  err=4.440892098500626e-16
Tail check: for i,j in (4..10), all |x_i - x_j| < 0.0001 (finite check)
